样本索引,文本,标注标签,情感得分,是否噪声,噪声类型
733,我本来就穿41码的鞋子，这次买了3双，有2双挺合脚的，有一双特别大！联系客服换货，半天没有人理，几个小时才给你回复，打过361的全国客服，服务态度也不好，还不如那些不入流的品牌的服务态度呢！最后说可以换，只是运费的自己来，我想问一句：你们的鞋子造的大了，根我的脚有毛关系啊！？在京东上购买第三方商品还真的不如*猫方便呢，人家起码还有运费险！唉！失败的一次购物，这是第一次买361的品牌，也是最后一次！,0.0,1,True,正向文本标负向
750,不满意，很不耐脏。,0.0,1,True,正向文本标负向
776,以为是木质的 有点失望,1.0,-1,True,负向文本标正向
787,太薄了，我还以为是一套这个价，拿到一看才发现是一件，件，好薄好薄，太失望了,0.0,1,True,正向文本标负向
793,买贵了，质量不好，值五十差不多,0.0,1,True,正向文本标负向
799,实在是没嘛好说的了,0.0,1,True,正向文本标负向
824,5月3号买的，5月8号收到货，晚上小宝宝摔了一下就摔坏了，不仅旁边的碗耳掉下来一块，而且里面的不锈钢里层碗都掉了下来，由一个碗变成两个碗了，一个塑料的外壳和一个不绣钢的内层。非常无语，也非常后悔买这个碗。我们之前的那个小碗宝宝都摔了好多次了都没问题，这个碗刚拿回来，宝宝摔了一次就完蛋了。都是为了凑单才买的，后悔！,0.0,1,True,正向文本标负向
831,不太好，不耐用，充电一会就用完了，电热丝还容易变形,0.0,1,True,正向文本标负向
834,不是很好一般吧,0.0,1,True,正向文本标负向
841,质量还是挺好的，可惜发夹没什么亮点，很普通,0.0,1,True,正向文本标负向
858,一般产品性价比不是很好,0.0,1,True,正向文本标负向
868,好书价格不贵，喜欢京东,1.0,-1,True,负向文本标正向
939,质量不错 就是买的时候尺寸最好多个20-30公分，要不然来回换尺寸太麻烦啦,1.0,-1,True,负向文本标正向
953,衣服面料不喜欢  快递态度不怎么好  建议换快递公司运输,0.0,1,True,正向文本标负向
956,戒指比想象中的薄，室友们都说不太值，而且个人觉得号偏小，好的地方是客服很热情，很有耐心，包装很好，还送了卡片，快递也很快，但也还是一次很不开心的购物，毕竟人生中的第一枚戒指。,0.0,2,True,正向文本标负向
979,差评，太脆了，刚贴好挤气泡，就碎了裂了真心无语！！！,0.0,1,True,正向文本标负向
981,虽然好但是速度不够k,0.0,1,True,正向文本标负向
1005,非常不满意，不能用,0.0,1,True,正向文本标负向
1008,我很喜欢天姿这个牌子、还可以了、、就是有点慢,1.0,-1,True,负向文本标正向
1011,给单位买的，硒鼓依然很好用，但是发票在网上查不到，不知是否是假发票？我想请教一下怎么辨别电子发票的真伪呢？网上是查不到该发票，因为是给单位买的，需要报销，发票查询不到是真的，只有自己赔本了。,0.0,1,True,正向文本标负向
1027,东西寄来的时候钟面都裂了 完全不能用 究其原因\n1 包装不到位 \n2 用韵达寄\n然后我找客服，可是客服说快递停了，叫我年后找他。我就等。\n年后，再找客服，客服说可以换但是寄去的运费要自己付，可是按照京东规定，15天内，如果是快递损坏应该由卖家承担来回运费。几经交涉，店家态度强硬，不肯承担寄回运费。认为我应该先验货再签收，可是韵达那种小快递，服务哪有那么好，不签收不让你验货啊。,0.0,1,True,正向文本标负向
1064,书看起来好旧好旧，书好脏，看到很心塞！,0.0,2,True,正向文本标负向
1067,确实设计不太好，isofix接口根本就是摆设，离靠背那么远，根本没法坐，看晒单上客服说加靠枕上去，但屁股坐的地方肯定是不好坐，不舒服的，设计有问题，如果装上个前后调节的装置才行，keng'die的东西。其他方面马马虎虎吧。,0.0,1,True,正向文本标负向
1081,弹力不错，胶皮太差，买回来跟用了很久的拉力一样。偏重手感，我喜欢，比较稳。,1.0,-1,True,负向文本标正向
1125,码太大，本想换太麻烦就算了,1.0,-1,True,负向文本标正向
1127,鞋子漂亮.不过走路不是很舒服,0.0,1,True,正向文本标负向
1131,龟一样的速度，书的内容不错，就是书是旧书，书皮被水侵泡过似的！希望商城以后多加注意，不要把这种商品当作精品卖给我们，好在是书，可以看！,0.0,1,True,正向文本标负向
1142,我不否认东西的质量。（我为了包邮凑的东西满38包邮）这是我的订单（第一张图片）。（第二章图片）是我收到的货。买了5样东西只收到了鱼漂一样货。我联系卖家他管我要外包装，包装验货时被我撕碎了我还特意看了一下没有东西。完了还管我要包装内的订单，我没收到我拿什么给你啊。客服告诉我没有订单我不能给你处理！这是什么道理啊？！我要是收到订单了我还跟你费这劲呢！大过节的惹一肚子气。缺的东西一共不到20元钱，卖家的意思好像我再诈骗似的！希望看到此评价的朋友谨慎消费！网购好多年了，发货缺货的现象也碰到过，和商家联系都解决的很好就没见过这样的卖家！不跟发货部核实是否有遗漏，只管我要发货订单，你要是故意就给少发货，还不在里面放订单的话，你一年岂不是赚的盆满钵满的吗！,0.0,1,True,正向文本标负向
1157,真心不是很好用，可不买。,0.0,1,True,正向文本标负向
1199,送货员自说自话把快递直接扔所谓的代收点，麻烦先来个电话好么，至少留个联系方式好么。我根本不知道小区还有这么个代收点！回家第一件事，来给差评！,0.0,1,True,正向文本标负向
1200,"一般般,做工粗糙!!!!",1.0,-1,True,负向文本标正向
1215,宝贝到了有点差,1.0,-1,True,负向文本标正向
1217,72页后是57页 很好很强大 什么都敢卖,0.0,1,True,正向文本标负向
1220,真心没法交流，感觉名高店的客服挺好，也挺实惠，便宜***,0.0,1,True,正向文本标负向
1237,质量太差了，价格值*不好，不好！！,0.0,1,True,正向文本标负向
1241,满意你妹，种子就就三四个,0.0,1,True,正向文本标负向
1258,哎，洗了还是有好重的臭味。而且清洗剂的味道闻起来好难受,0.0,2,True,正向文本标负向
1272,自行车外观很漂亮啊，自己装后还是不太好，轮子配少珠，导致前轮老是摇晃，去自行车铺装上珠才行，一分钱一分货，变速反应很慢,1.0,-1,True,负向文本标正向
1323,啊舒服噶是否打算啊为发达是阿什顿飞,0.0,1,True,正向文本标负向
1336,骗人，没有送我钢化膜,1.0,-1,True,负向文本标正向
1342,东西没想象中的好，最气愤的是快递单上写了有赠品，打开却没有，不知道是故意的还是忘了放进去。让人很郁闷。一次很不爽的网购。只能给个差评 ,0.0,1,True,正向文本标负向
1358,贵，贵的要死，别人48买7本这样的，虽然是盗版。。,1.0,-2,True,负向文本标正向
1376,很一般，不舒服,0.0,1,True,正向文本标负向
1390,鞋子没有想象的那么好，觉得不怎么样,0.0,1,True,正向文本标负向
1393,没想像中的好，一般般吧，，,0.0,1,True,正向文本标负向
1404,看着一般般，不像皮的，不太满意,0.0,1,True,正向文本标负向
1407,鞋子外面有点脱胶，鞋垫大很多，不想退货了，免得麻烦,1.0,-1,True,负向文本标正向
1416,不好啊，布料吸腿，没旗舰店的好穿,0.0,1,True,正向文本标负向
1427,电池太不给力！希望商家可以在这方面努力，或是提供用户DIY电池备用的方法！另外，质量有待提高，小朋友第一天就有其中一台，一边车轮不转！不过，总归还是个好玩具，特别是对战，构思巧妙，娱乐性强，而且在亲子族活动方面，增色不少，值得推荐！,0.0,2,True,正向文本标负向
1441,发错货实在很不满意,0.0,1,True,正向文本标负向
1487,这次的感觉不太好 打开包装后 亮黑色宝珠笔的笔杆上有很多细小划痕 用镜布反复擦拭后仍然存在 虽然不影响使用 但是很不完美,0.0,1,True,正向文本标负向
1506,东西还可以，就是拼起来的时候发现少了几颗螺丝，自己跑去五金店买了几颗将就用着，找客服要原装螺丝，都快两个星期了都还没核查好。郁闷。。。,0.0,1,True,正向文本标负向
1508,鞋子穿了两天，感觉比效宽松、僵硬，不满意的一次购物体应。,0.0,1,True,正向文本标负向
1529,我只想说。这衣服送快递送了半个月，我不知道快递公司怎么搞的，衣服再好已经没用了,0.0,1,True,正向文本标负向
1541,舵手夜光棒夜钓棒 钓鱼用视距30米盒装 发光棒荧光棒 配件渔具，不怎么亮，还有些报废的。不太满意。,0.0,1,True,正向文本标负向
1546,读不尽的红楼。\n文字浅易。\n看了会爱不释手。\n学识俱佳。\n买一套，可惜差一本，,1.0,-1,True,负向文本标正向
1554,不满意！我还没收到就以经收到了！快递员前天还要送过来，但今天还没来！,0.0,1,True,正向文本标负向
1592,穿着包不住臀部，夹在当中，特别不舒服，一次性就扔了，失败的一次网购,0.0,1,True,正向文本标负向
1627,从桌子上掉下来居然没破，牛,1.0,-1,True,负向文本标正向
1700,特价时买得，比外面便宜很多，就是开发票麻烦,1.0,-1,True,负向文本标正向
1714,非常不满意，年前买的产品，一个多月了，没有安排安装，打电话推脱，,0.0,1,True,正向文本标负向
1716,如果可以把物流外包装换成纸盒就好了，冬天天气凉，本子的塑料皮包装在塑料袋外包装里会导致被冻裂的。,0.0,1,True,正向文本标负向
1721,鞋子外观很完美，穿起来有点划，,0.0,1,True,正向文本标负向
1722,颜色完全不对，实物颜色超难看，又不是赠送的，是花钱买来的，太糊弄人了，非常不满意！！！,0.0,1,True,正向文本标负向
1744,好像薄了一点，不是很满意,0.0,1,True,正向文本标负向
1759,内衣特别扎，穿着很不舒服很不舒服，内裤还可以!还有包装就一个塑料袋，真的是太不值了,0.0,2,True,正向文本标负向
1770,纸张，印刷，插图都没得说，很好。但这内容实在让人无语，照搬李时珍，没一点注解和解晰，好多文言文看的云里雾里，这还要编辑干嘛？？\n,0.0,1,True,正向文本标负向
1771,还可以算是对付了，价格贵，没灯泡,1.0,-1,True,负向文本标正向
1779,味道不怎么好，感觉很劣质！下次不会买了,0.0,1,True,正向文本标负向
1811,总体还是不错的，就是外盘粗糙了一点，但是还是适合入门使用的。,1.0,-1,True,负向文本标正向
1817,不实用，没有太大意义！,0.0,1,True,正向文本标负向
1829,很有质感。手感也不错，瓷器的材质总不比塑料啊什么的差！,1.0,-1,True,负向文本标正向
1836,先说东西质量一般，线过短使用不方便，另外客服说话一点不负责任，提前问他们是否能开北京版发票告知可以，然后寄过来一张天津版发票，导致给单位买的东西不能走报销流程，联系售后又告诉我发票的问题一定要提前问京东发票专线，我就请问买之前你怎么不说呢？？？同事收的货不知道情况已经拆包装了，问还能不能退货又不理人了，京东算是够了，以后再不相信京东自营品牌了,0.0,1,True,正向文本标负向
1845,手感不错，气味好刺鼻！放几天才能用！！,0.0,1,True,正向文本标负向
1865,一点都不满意 不好看,0.0,1,True,正向文本标负向
1872,说实话，真心感觉到不怎么样，买的是黑了，却看上去是深蓝色！穿着不怎么样！没有实体店好,0.0,1,True,正向文本标负向
1887,&ldquo;The Maze Runner&rdquo; ，精装效果一般；\n京东送货时间我选择的是当天晚上21:00之前，但是实际到货时间却为第二天上午09:00多；中间没有任何电话或者短信的解释。。。。。。\n精装的封面效果是硬的，类似于词典。里面的纸张是偏黄的。翻开以后也不能很好的打开，需要用手扶着，否则就会自动合上。总的来说没有我之前买的 DIVERGENT 的装订效果好，这个比DIVERGENT还贵30大元左右。。。。。。不知道简装版的是不是更好一些。。。。。。\n书的内容应该是不错，之前看了介绍才打算购买的。,0.0,2,True,正向文本标负向
1904,用了好几次，没有效果，柜子的味道依然很大。不建议购买。,0.0,1,True,正向文本标负向
1906,非常不满意，快递变慢递，客服变上帝,0.0,1,True,正向文本标负向
1910,这估计是我吃过的最难吃的果干了，尤其是里面的芒果干，湿的，完全不是新鲜果干，就是果脯，还带皮带核，其他的香蕉干，椰子片，菠萝蜜干一般，也就值两星。,0.0,1,True,正向文本标负向
1917,东西还行，做工不细致，结合处这么大的缝，倒是不影响正常使用，问题是看到这缝隙人心里就不太舒服，大大影响了购物与使用的心情。,0.0,1,True,正向文本标负向
1930,我的小米手机经常的找不到这个蓝牙手环。手机的蓝牙打开了，这个锋立手环戴在手腕上，手机放在裤兜里。就这样都经常搜索不到设备。把手环直接放到手机屏幕上，都能搜索不到。而且，自从用了这个手环，无论是手机还是手环耗电量都相当大。几乎两天就要充一次电。\n说实话，这东西，相当不满意。,0.0,1,True,正向文本标负向
1951,不满意，15号下单，2O号才出库，21号收货。,0.0,1,True,正向文本标负向
1956,"晕了,是我运气好还是什么的!买包送创意腰挂韩国钥匙链钥匙扣圈!都TM的包装破损!曰,这帮拣货和复核的家伙们也不知道看看,气死我了!",0.0,1,True,正向文本标负向
1958,不满意，联系不上卖家的，码数过大，,0.0,1,True,正向文本标负向
1961,物流很快，有点贵&hellip;&hellip;,1.0,-1,True,负向文本标正向
1973,书的内容就不用说什么了，很好！\n主要是卖家，书没有包皮、这都没关系，我买的是新书、发过来书面很脏边边角角很脏、整书从内到外都有很深的折印记、不能能说我爱书如命、但是对于书籍我还是很爱护的、希望卖房能把库存的书籍都放好、爱护好！,0.0,3,True,正向文本标负向
1974,印刷精美的ruozhi书籍，空洞乏味，缺少案例分析和说服力，基本上属于一本&ldquo;先有衣服再做尺子的书&rdquo;，还在浏览，不推荐本书，建议另行购买！,0.0,1,True,正向文本标负向
1988,不满意啊，怎么还要自己剪啊，这个怎么剪的好，麻烦，那个不要剪的还好,0.0,1,True,正向文本标负向
1995,这个包包跟网上图片相差很大，质地没有想象中的好，而且味道有点大，包包也值不了那个价，只能凑合着用了。,0.0,2,True,正向文本标负向
2004,颜色不一样  不太满意,0.0,1,True,正向文本标负向
2006,不怎么好前面老起小颗粒,0.0,1,True,正向文本标负向
2033,太硬，，鞋口顶脚好痛，，穿起来还很不舒服。。。,0.0,2,True,正向文本标负向
2051,这是一次不太满意的购物，镜片带起来给眼睛的压力很大，不舒服，建议还是在实体店购物,0.0,2,True,正向文本标负向
2071,总体不错，不过没有我想象的好，内部空间窄，线缝合比较粗躁。性能的好坏只有用了才知道。,0.0,1,True,正向文本标负向
2091,穿着是舒服的，就是感觉土气点,0.0,1,True,正向文本标负向
2147,消除静电功能不错，不过就是收到时候拆包装的时候都漏了。,1.0,-1,True,负向文本标正向
2156,有点小口，漏毛，值不当的退换了，请看图吧,0.0,1,True,正向文本标负向
2157,书还行，但是快递到了之后我的书的交都整好了，真是的气死了一点满意最起码那个盒子之类的东西包一下啊！就一个袋子，服了都什么啊！,0.0,1,True,正向文本标负向
2168,我是5天才收到，还催过的，东西质量很可以，就是手进去后太紧，不自如，只能动手指（我的手不大）。基本上没实用效果，除了暖手。,0.0,1,True,正向文本标负向
2195,商品质量很好，但是尺寸误差太大，28cm的蒸片，用尺量刚刚好27.5cm，刚刚能卡住，但又不稳，稍用手往下按一下，就掉下去了，唉！又不敢再买大一号30cm的，怕放不进去。,0.0,2,True,正向文本标负向
2207,说明书烂到没话说，起不到指导的作用，反而装起来更复杂。床尾上方处的接口和床头顶上方的银色装饰掉漆。固定绳还用就掉了。我买的黄色，配的粉红挂扣。管子和蚊帐质量还是可以的，但绝对没抓细节的。,1.0,-1,True,负向文本标正向
2227,系统稳定，音质不错的说，对比之前买的c3，那是骗钱的垃圾，这个确实可以了，绝对可以打压千元下所有进口货，配森海耳机感觉不错，,1.0,-1,True,负向文本标正向
2253,一般般&hellip;&hellip;不是很好，有点薄,0.0,1,True,正向文本标负向
2262,这个小东东要是再便宜点没的说，差一块钱要十元运费糟心,1.0,-1,True,负向文本标正向
2314,画面很美，价格很贵。。。。,1.0,-1,True,负向文本标正向
2326,味道特大，里面绒毛就快掉了，不好，想退了，但是我又不方便出去&hellip;&hellip;&hellip;&hellip;,0.0,1,True,正向文本标负向
2335,颗粒不太饱满，很干瘪很少很好，不过枸杞很干净,0.0,1,True,正向文本标负向
2343,衣服很满意，就是物流太慢了，下单10多才到,0.0,1,True,正向文本标负向
2345,包装太差了啊！不知道怎么会这样打包啊！非常不满意这个商家啊,0.0,1,True,正向文本标负向
2421,哪里都好，我是给我老公定的，但我穿上好像八分裤，我老公穿也就能当七分裤，下次不能贪便宜了,0.0,1,True,正向文本标负向
2438,不喜欢外面的纸套，取放太麻烦\n,1.0,-1,True,负向文本标正向
2483,严重小一码。我175CM，买了XL码的，还不如其它牌子L码的大。面料发亮。很不满意。袖子根本挽不上去，我还是胳膊很瘦的那种体型。,0.0,1,True,正向文本标负向
2490,料子好硬，说实话不咋样啊，亏了,0.0,1,True,正向文本标负向
2514,别的都挺好的，就是色差很大。,0.0,1,True,正向文本标负向
2529,什么东西，这也值*多元，在实体店*不到，杯套旧的不能在旧了,0.0,1,True,正向文本标负向
2533,包装清单啥都没有，写了那么多送床垫的客户截图，结果不送，这就是宣传不清楚。要不你就写清楚包装清单有啥，消费者好自主选择。,0.0,1,True,正向文本标负向
2535,先不说东西质量怎样。编光盘的人脑子应该是浆糊了。一本书那么多的听力材料只有一个mp3文档，而且没有任何信息告知哪一段从几分几秒开始。也就意味着我只能从书一开始听，并且听到哪儿做个记号，不然下次接下去听就不知道该从哪里开始播放了。。。。从来没有见过这么雷人的听力书，非常不满意。难怪这么便宜呢，果然便宜没好货，下次再也不敢买这个品牌出的听力书了。先不说东西质量怎样。编光盘的人脑子应该是浆糊了。一本书那么多的听力材料只有一个mp3文档，而且没有任何信息告知哪一段从几分几秒开始。也就意味着我只能从书一开始听，并且听到哪儿做个记号，不然下次接下去听就不知道该从哪里开始播放了。。。。从来没有见过这么雷人的听力书，非常不满意。难怪这么便宜呢，果然便宜没好货，下次再也不敢买这个品牌出的听力书了。先不说东西质量怎样。编光盘的人脑子应该是浆糊了。一本书那么多的听力材料只有一个mp3文档，而且没有任何信息告知哪一段从几分几秒开始。也就意味着我只能从书一开始听，并且听到哪儿做个记号，不然下次接下去听就不知道该从哪里开始播放了。。。。从来没有见过这么雷人的听力书，非常不满意。难怪这么便宜呢，果然便宜没好货，下次再也不敢买这个品牌出的听力书了。,0.0,3,True,正向文本标负向
